symbol,name,industry,index_memberships
AWFIS,Awfis Space Solutions Limited,,
AWHCL,Antony Waste Handling Cell Limited,,
AWL,AWL Agri Business Limited,Fast Moving Consumer Goods,NIFTY500
AXISBANK,Axis Bank Limited,Financial Services,NIFTY50|NIFTY500
AXISCADES,AXISCADES Technologies Limited,,
AXITA,Axita Cotton Limited,,
AYE,Aye Finance Limited,,
AYMSYNTEX,AYM Syntex Limited,,
AZAD,Azad Engineering Limited,,
BAGFILMS,B.A.G Films and Media Limited,,
BAIDFIN,Baid Finserv Limited,,
BAJAJ-AUTO,Bajaj Auto Limited,Automobile and Auto Components,NIFTY50|NIFTY500
BAJAJCON,Bajaj Consumer Care Limited,,
BAJAJELEC,Bajaj Electricals Limited,,
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,NIFTY50|NIFTY500
BAJAJHCARE,Bajaj Healthcare Limited,,
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,NIFTY500
BAJAJHIND,Bajaj Hindusthan Sugar Limited,,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,NIFTY500
BAJAJINDEF,Indef Manufacturing Limited,,
BAJAJST,Bajaj Steel Industries Limited,,
BAJEL,Bajel Projects Limited,,
BAJFINANCE,Bajaj Finance Limited,Financial Services,NIFTY50|NIFTY500
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,,
BALAJITELE,Balaji Telefilms Limited,,
BALAMINES,Balaji Amines Limited,,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,
BALKRISHNA,Balkrishna Paper Mills Limited,,
BALKRISIND,Balkrishna Industries Limited,Automobile and Auto Components,NIFTY500
BALMLAWRIE,Balmer Lawrie & Company Limited,,
BALPHARMA,Bal Pharma Limited,,
BALRAMCHIN,Balrampur Chini Mills Limited,Fast Moving Consumer Goods,NIFTY500
BALUFORGE,Balu Forge Industries Limited,,
BANARBEADS,Banaras Beads Limited,,
BANARISUG,Bannari Amman Sugars Limited,,
BANCOINDIA,Banco Products (I) Limited,,
BANDHANBNK,Bandhan Bank Limited,Financial Services,NIFTY500
BANG,Bang Overseas Limited,,
BANKA,Banka BioLoo Limited,,
BANKBARODA,Bank of Baroda,Financial Services,NIFTY500
BANKINDIA,Bank of India,Financial Services,NIFTY500
BANSALWIRE,Bansal Wire Industries Limited,,
BANSWRAS,Banswara Syntex Limited,,
BASF,BASF India Limited,,
BATAINDIA,Bata India Limited,Consumer Durables,NIFTY500
BATLIBOI,Batliboi Limited,,
BAYERCROP,Bayer Cropscience Limited,Chemicals,NIFTY500
BBL,Bharat Bijlee Limited,,
BBOX,Black Box Limited,,
BBTC,The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,NIFTY500
BBTCL,B&B Triplewall Containers Limited,,
BCG,Brightcom Group Limited,,
BCLIND,Bcl Industries Limited,,
BCONCEPTS,Brand Concepts Limited,,
BCPL,BCPL Railway Infrastructure Limited,,
BDL,Bharat Dynamics Limited,Capital Goods,NIFTY500
BEARDSELL,Beardsell Limited,,
BECTORFOOD,Mrs. Bectors Food Specialities Limited,,
BEDMUTHA,Bedmutha Industries Limited,,
BEEKAY,Beekay Steel Industries Limited,,
BEL,Bharat Electronics Limited,Capital Goods,NIFTY50|NIFTY500
BELLACASA,Bella Casa Fashion & Retail Limited,,
BELRISE,Belrise Industries Limited,Automobile and Auto Components,NIFTY500
BEML,BEML Limited,Capital Goods,NIFTY500
BENGALASM,Bengal & Assam Company Limited,,
BEPL,Bhansali Engineering Polymers Limited,,
BERGEPAINT,Berger Paints (I) Limited,Consumer Durables,NIFTY500
BESTAGRO,Best Agrolife Limited,,
BETA,Beta Drugs Limited,,
BFINVEST,BF Investment Limited,,
BFUTILITIE,BF Utilities Limited,,
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,,
BHAGYANGR,Bhagyanagar India Limited,,
BHARATCOAL,Bharat Coking Coal Limited,,
BHARATFORG,Bharat Forge Limited,Automobile and Auto Components,NIFTY500
BHARATRAS,Bharat Rasayan Limited,,
BHARATSE,Bharat Seats Limited,,
BHARATWIRE,Bharat Wire Ropes Limited,,
BHARTIARTL,Bharti Airtel Limited,Telecommunication,NIFTY50|NIFTY500
BHARTIHEXA,Bharti Hexacom Limited,Telecommunication,NIFTY500
BHEL,Bharat Heavy Electricals Limited,Capital Goods,NIFTY500
BI,Bilcare Limited,,
BIGBLOC,Bigbloc Construction Limited,,
BIKAJI,Bikaji Foods International Limited,Fast Moving Consumer Goods,NIFTY500
BIL,Bhartiya International Limited,,
BIMETAL,Bimetal Bearings Limited,,
BIOCON,Biocon Limited,Healthcare,NIFTY500
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,,
BIRLACORPN,Birla Corporation Limited,,
BIRLAMONEY,Aditya Birla Money Limited,,
BIRLANU,BirlaNu Limited,,
BIRLAPREC,Birla Precision Technologies Limited,,
BLACKBUCK,BLACKBUCK LIMITED,,
BLAL,BEML Land Assets Limited,,
BLBLIMITED,BLB Limited,,
BLIL,Balmer Lawrie Investments Limited,,
BLKASHYAP,B. L. Kashyap and Sons Limited,,
BLS,BLS International Services Limited,Consumer Services,NIFTY500
BLSE,BLS E-Services Limited,,
BLUECHIP,Blue Chip India Limited,,
BLUEDART,Blue Dart Express Limited,Services,NIFTY500
BLUEJET,Blue Jet Healthcare Limited,Healthcare,NIFTY500
BLUESTARCO,Blue Star Limited,Consumer Durables,NIFTY500
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,,
BLUSPRING,Bluspring Enterprises Limited,,
BMWVENTLTD,BMW Ventures Limited,,
BNAGROCHEM,BN Agrochem Limited,,
BOHRAIND,Bohra Industries Limited,,
BOMDYEING,Bombay Dyeing & Mfg Company Limited,,
BONLON,Bonlon Industries Limited,,
BORANA,Borana Weaves Limited,,
BOROLTD,Borosil Limited,,
BORORENEW,BOROSIL RENEWABLES LIMITED,,
BOROSCI,Borosil Scientific Limited,,
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,,
BOSCHLTD,Bosch Limited,Automobile and Auto Components,NIFTY500
BPCL,Bharat Petroleum Corporation Limited,Oil Gas & Consumable Fuels,NIFTY500
BPL,BPL Limited,,
BRIGADE,Brigade Enterprises Limited,Realty,NIFTY500
BRIGHOTEL,Brigade Hotel Ventures Limited,,
BRITANNIA,Britannia Industries Limited,Fast Moving Consumer Goods,NIFTY500
BRNL,Bharat Road Network Limited,,
BSE,BSE Limited,Financial Services,NIFTY500
BSL,BSL Limited,,
BSOFT,BIRLASOFT LIMITED,Information Technology,NIFTY500
BTML,Bodhi Tree Multimedia Limited,,
BUILDPRO,Shankara Buildpro Limited,,
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,,
BVCL,Barak Valley Cements Limited,,
CAMLINFINE,Camlin Fine Sciences Limited,,
CAMPUS,Campus Activewear Limited,,
CAMS,Computer Age Management Services Limited,Financial Services,NIFTY500
CANBK,Canara Bank,Financial Services,NIFTY500
CANFINHOME,Can Fin Homes Limited,Financial Services,NIFTY500
CANHLIFE,Canara HSBC Life Insurance Company Limited,Financial Services,NIFTY500
CANTABIL,Cantabil Retail India Limited,,
CAPACITE,Capacit'e Infraprojects Limited,,
CAPILLARY,Capillary Technologies India Limited,,
CAPITALSFB,Capital Small Finance Bank Limited,,
CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,NIFTY500
CARBORUNIV,Carborundum Universal Limited,Capital Goods,NIFTY500
CARERATING,CARE Ratings Limited,,
CARRARO,Carraro India Limited,,
CARTRADE,Cartrade Tech Limited,Consumer Services,NIFTY500
CARYSIL,CARYSIL LIMITED,,
CASTROLIND,Castrol India Limited,Oil Gas & Consumable Fuels,NIFTY500
